ID,Titulo,Artista,Album,Genero,Año,Letra,Audio_Path
46,9071 km,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Sigue doliendo caminar
Tal vez no he sanado
Tal vez sea tiempo de soltar el pasado
Darme esa sensación de estar a tu lado
Algo, tal vez un placebo que me haga sentir
Que estoy dando mejores pisadas
Que mis piernas dejen de sentirse quebradas
Darme alas
Ya no quiero mirar hacia atrás
Darme alas
O tendré que seguir con mi rodilla que no sana
Pero con el tiempo aprendo a caminarla
Brinca cada barricada, aunque no esté totalmente cicatrizada
Tu fantasma me persigue, como ese dolor que siento de la nada
Es tu ausencia que me deja huella, solo me recuerda
Que yo todavía sigo perdido
Todavía no encuentro el camino
Para recordarte y reclamarte que tú jodiste mi ritmo
Y me ahogo en mi estado
Prefiero el pasado
Que afrontar lo que en la realidad me pasó
La realidad me jodió, ah
Pero sigo creyendo que algún día podré correr más
Rápido que Usain en Germany, cada récord pasar
Hamilton en mi espalda, cada circuito, no vo' a frenar
Tengo que demostrarme que yo sin ti puedo hacerme sentir suficiente
Que no necesito de nada
Que ahora sí pueda borrar tu mirada
Hoja pasada y me aburrí
Por usarme y bailar en las llamas
Te quemé a ti
Y luego me fui
Ya no estoy triste
Yo ya aprendí
Y ahora no existes
Un vuelo a Madrid
Bebiendo Guinness
Ya no hablo de ti
Que ya me perdiste
Un enero pa' mí, que el pasado me lo jodiste
Fuiste egoísta y yo te valí
Y ahora camino sin ti
Y ahora camino sin ti",audio/12. HUMBE - 9071 km.flac
47,FEAR.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Poverty's paradise
I don't think I could find a way to make it on this earth
What's up, family? Yeah, it's your cousin Carl, man, just givin' you a call, man
I know you been havin' a lot on yo' mind lately
And I know you feel like, you know
People ain't been prayin' for you (yeah)
But you have to understand this, man, that we are a cursed people
Deuteronomy 28:28 says, ""The Lord shall smite thee with madness and blindness, and astonishment of heart""
See, family, that's why you feel like you feel
Like you got a chip on your shoulder
Until you follow His commandments, you gonna feel that way
Why God, why God, do I gotta suffer?
Pain in my heart carry burdens full of struggle
Why God, why God, do I gotta bleed?
Every stone thrown at you restin' at my feet
Why God, why God, do I gotta suffer?
Earth is no more, won't you burn this mother-?
I don't think I could find a way to make it on this earth
Akcuf'hum siht nrub uoy t'now erom on si htraE
Reffus attog I od doG yhw doG yhW
Teef ym ta 'nitser uoy ta nworht enots yrevE
Deelb attog I od doG yhw doG yhW
Elggurts fo lluf snedrub yrrac traeh ym ni niaP
Reffus attog I od doG yhw doG yhW
Teef ym ta 'nitser uoy ta nworht enots yrevE
I beat yo' ass, keep talkin' back
I beat yo' ass, who bought you that?
You stole it, I beat yo' ass if you say that game is broken
I beat yo' ass if you jump on my couch
I beat yo' ass if you walk in this house
With tears in your eyes, runnin' from Poo Poo and Prentice
Go back outside, I beat yo' ass, lil' -
That homework better be finished, I beat yo' ass (poverty's)
Your teachers better not be - 'bout you in class
That pizza better not be wasted, you eat it all (paradise)
That TV better not be loud if you got it on (I don't think I could find a way to make it on this earth)
Them Jordans better not get dirty when I just bought 'em
Better not hear 'bout you - on Keisha's daughter
Better not hear you got caught up
I beat yo' ass, you better not run to your father
I beat yo' ass, you know my patience runnin' thin
I got buku payments to make
County building's on my ass, tryna take my food stamps away
I beat yo' ass if you tell them social workers he live here
I beat yo' ass if I beat yo' ass twice and you still here
Seven years old, think you run this house by yourself?
-, you gon' fear me if you don't fear no one else
If I could smoke fear away, I'd roll that mother- up
And then I'd take two puffs
- - now (high), - - now (high)
- - now (poverty's), - - now (high)
Life's a -, pull them - to the side now (pull them - to the side now)
I don't think I could find a way to make it on this earth
I'll prolly die anonymous, I'll prolly die with promises
I'll prolly die walkin' back home from the candy house (yeah)
I'll prolly die because these colors are standin' out
I'll prolly die because I ain't know Demarcus was snitchin' (yeah)
I'll prolly die at these house parties, - with -
I'll prolly die from witnesses leavin' me falsed accused
I'll prolly die from thinkin' that me and your hood was cool (yeah)
Or maybe die from pressin' the line, actin' too extra
Or maybe die because these smokers are more than desperate
I'll prolly die from one of these bats and blue badges
Body-slammed on black and white paint, my bones snappin'
Or maybe die from panic or die from bein' too lax
Or die from waitin' on it, die 'cause I'm movin' too fast
I'll prolly die tryna buy - at the apartments (poverty)
I'll prolly die tryna defuse two homies arguin' (paradise)
I'll prolly die 'cause that's what you do when you're 17 (I don't think I could find a way to make it on this earth)
All worries in a hurry, I wish I controlled things
If I could smoke fear away, I'd roll that mother- up
And then I'd take two puffs (I've been hungry all my life, yeah)
- - now (high), - - now (high)
- - now (high), - - now (high)
Life's a -, pull 'em - to the side now (pull 'em - to the side now) now
When I was 27, I grew accustomed to more fear
Accumulated ten times over throughout the years
My newfound life made all of me magnified
How many accolades do I need to block denial?
The shock value of my success put bolts in me (poverty)
All this money, is God playin' a joke on me?
Is it for the moment, and will he see me as Job? (I don't think I could find a way to make it on this earth)
Take it from me and leave me worse than I was before?
At 27, my biggest fear was losin' it all (yeah)
Scared to spend money, had me sleepin' from hall to hall
Scared to go back to Section 8 with my mama stressin' (yeah)
Thirty shows a month, and I still won't buy me no Lexus
What is an advisor? Somebody that's holdin' my checks
Just to - me over and put my finances in debt? (Yeah)
I read a case about Rihanna's accountant and wondered
How did the Bad Girl feel when she looked at them numbers?
The type of - 'll make me flip out and just - somethin'
Drill somethin', get ill and fill ratchets with a lil' somethin'
I practiced runnin' from fear, guess I had some good luck
At 27 years old, my biggest fear was bein' judged
How they look at me reflect on myself, my family, my city (poverty)
What they say 'bout me reveal if my reputation would miss me
What they see from me would trickle down generations in time (I don't think I could find a way to make it on this earth)
What they hear from me would make 'em highlight my simplest lines
I'm talkin' fear, fear of losin' creativity
I'm talkin' fear, fear of missin' out on you and me
I'm talkin' fear, fear of losin' loyalty from pride
'Cause my DNA won't let me involve in the light of God
I'm talkin' fear, fear that my humbleness is gone
I'm talkin' fear, fear that love ain't livin' here no more
I'm talkin' fear, fear that it's wickedness or weakness
Fear, whatever it is, both is distinctive
Fear, what happens on Earth stays on Earth
And I can't take these feelings with me, so hopefully, they disperse
Within 14 tracks, carried out over wax
Searchin' for resolutions until somebody get back
Fear, what happens on Earth stays on Earth (poverty)
And I can't take these feelings with me, so hopefully they disperse
Within 14 tracks, carried out over wax (I don't think I could find a way to make it on this earth)
Wonderin' if I'm livin' through fear or livin' through rap, damn
God damn you, God damn me
God damn us, God damn we
God damn us all
Therefore I will punish you for all your iniquities""
So until we come back to these commandments
Until you come back to these commandments
We gonna feel this way, we gonna be under this curse
Because He said He's gonna punish us
The so-called Blacks, Hispanics, and Native American Indians
Are the true children of Israel
We are the Israelites, accordin' to the Bible
The children of Israel
He's gonna punish us for our iniquities, for our disobedience
Because we chose to follow other Gods
That man chastens his son, so the Lord, thy God, chasten thee
So, just like you chasten your own son, He's gonna chasten you
Because He loves you, so that's why we get chastised
That's why we're in the position that we're in
Until we come back to these laws, statutes, and commandments
And do what the Lord says, these curses is gonna be upon us
We gonna be at a lower state in this life that we live
Here, in today, in the United States of America
I love you, family, and I pray for you
God bless you
Shalom",audio/12. Kendrick Lamar - FEAR..flac
48,Like Him,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"she said that i make expressions like him
my legs to my shoulders and my chin like him
my waist and my posture like him
mama i'm chasing a ghost, i don't know who he is
mama i'm chasing a ghost, i don't know where he is
mama i'm chasing a ghost, do i look like him?
you gave me love, and affection
attention, protection
how could i ever miss something that i've never had?
i would never judge you
cause everything worked out without him
mama i'm chasing a ghost, i don't know who he is
mama i'm chasing a ghost, i don't know where he is
mama i'm chasing a ghost, do i look
let it go, i've decided to
anything that lives inside of you
i would never ever lie you
you ain't ever have to lie to me
i'm everything that i've strived to be
so do i look like him?
do i look like him?
i don't look like him","audio/12. Tyler, The Creator - Like Him.flac"
49,PIToRRO DE COCO,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Otra Navidad en la que te pedí
Otra Navidad que no estás aquí
Feliz Año Nuevo, pero no tan feliz
Te dieron un beso a las 12
Y no fui yo quien te lo di
Hace un año que yo estuve ahí
Hace un año que yo estuve ahí
Hace un año tu primer abrazo
Fue sólo pa' mí
Me tenías en las nube'
Y como un rayo caí
Caí, caí, y ahora
Ni una llamada, ni un solo mensaje
Los brother' me la montan
Dicen que estoy en un viaje
Son las 12:04 y ya estoy bien loco
Llorando y bebiendo
Pitorro de coco
Que me trajo abuelo pa' que vacilara
No pa' que por un cuero
A las 12 llorara
Rumba
Ey, ey
Te pedí pa' los Reye' y pa' Santa Clau'
Los Reyes picharon y Santa nunca llegó
Si tú no está' aquí, fue que así quiso Dio'
Siempre supe que era' mala
No te crea' que soy ciego
Yo cerraba los ojo' y te besaba de nuevo
Con el doble seis y doble cinco
Me trancaste el juego
Tú y yo somo' iguale', nos veremo' luego
Uh, uh, uh, ojalá no conozca otra como tú
Uh, uh, uh, tú ere' mala, te fuiste como la luz
Comoquiera me vino tu cara a las 12
Cuando el año se acabó
Uh, uh, uh, y me dolió
Que ni una llamada, ni un solo mensaje
Los brother' me la montan
Dicen que estoy en un viaje
Son las 12:04 y ya estoy bien loco
Llorando y bebiendo
Pitorro de coco
Que me trajo abuelo pa' que vacilara
No pa' que por un cuero
A las 12 llorara
Ten cuidao', Eduardo, ten cuidao'
Pero qué maldita",audio/13. Bad Bunny - PIToRRO DE COCO.flac
50,SÁBANAS,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Apaga la televisión
Quiero silencio para dormir
Pareciera que no quiero compartir
Mis sábanas contigo
Tal vez aún no estoy listo para hacerte feliz (para hacerte feliz)
Para poder decidir mis problemas contigo (para poder decidir)
Lamento que te dolerá cuando diga
Que nuestro tiempo acabará aquí, no fue mentira
Prometo que sí lo sentía
Un amor que me consumía
Algo nos destruía
Más solo que Apollo sentado a mi lado con 48
Oyendo todo, penas mezcladas en odio
¿Qué más queda hacer? Si eso es lo que siento ahora
Desgastar mi set gris, perderme por horas
Ac en dieciséis
Acostarme, prender y fly away
'Cause sometimes I gotta fly away
Para conocerme
Eso digo para poder descansar mejor
Ahogando el temor para sentir algo
Small talk evitando
Que hoy ya no quiero salir de mi cuarto
Es un reflejo de mi interior
Es tan solo un reflejo
Queriendo confiar en mi yo
Pero a veces me siento un pendejo
En agua poder descansar
Darme tiempo de crecer
Tal vez encuentre mi paz
Cuando vuelva a aprender a dejarme amar
Todo va a cambiar
La vida va a ser diferente
Mi relación conmigo y con toda mi gente
Creo que ya puedes encender la televisión
Si estás aquí, no quiero dormir
Vamos a compartir
Nuestros traumas aquí (nuestros traumas aquí)
Hasta hacerlos finitos (hasta hacerlos finitos)
Ahora sí ya estoy listo
Para hacerte feliz
Para siempre estar aquí
Ih-ih-ih-ih
Ih-ih-ih-ih
Ih-ih-ih-ih
Ih
Odio todo (apaga)
Lo que haces (apaga la televisión)
Estoy tan roto (apaga)
Estoy tan solo (apaga)
Odio todo (apaga)
Lo que haces (apaga)
Estoy tan solo (apaga)
Estoy tan roto",audio/13. HUMBE - SÁBANAS.flac
51,GOD.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"This what God feel like, huh, yeah
Laughing to the bank like, ""ah-ha, "" huh, yeah
Flex on swole like, ""ah-ha, "" huh, yeah
You feel some type of way then, ah-ha, huh, yeah
(A-ha-ha, a-ha-ha)
Ever since a young man (since a young man)
All I want to be was a gunman (was a gunman)
Shootin' up the charts, better run man
Y'all gotta see that I won, man
Slick as El DeBarge with the finger waves, work it, JT
Handle bars like a fade, watch me, work it, JT
I'm at large, running plays like a circuit, JT
I'm selling verses, JT, watch me work it, JT
Look, look, hold up
Don't judge me, my mama caught me with a strap
Don't judge me, I was young, fucking all the brats
Don't judge me, aimin' at your head for a stack
Don't judge me, don't judge me
Now, my home got a Valley peak
Don't judge me, if I press your line, you're a freak
Don't judge me, won't you tell a friend? Y'all gon' see
This what God feel like, huh, yeah
Laughing to the bank like, ""ah-ha, "" huh, yeah
Flex on swole like, ""ah-ha, "" huh, yeah
You feel some type of way then, ah-ha, huh, yeah
(A-ha-ha, a-ha-ha)
Fuck is you talking to?
Aye, do you know who you're talking to?
Slide on you like fallen drapes
God toss full of carnivals
I kill 'em with kindness
Or I kill 'em with diamonds
Or I put up like fifteen hundred
Get your ass killed by the finest
Everything life is a gamble
Nothing in life I can't handle
Seen it all, done it all, felt pain more
For the cars, I done put blood on sword
Everything I do is to embrace y'all
Everything I write is a damn eight-ball
Everything I touch is a damn gold mine
Everything I say is from an angel
I don't rush shit, fuck shit
Always your shit, my shit
Cannonballs to ignite shit
Morning to the night shift, I'm on
I ain't sorry for it, ask for a piece of mine
You charged me for it
I wanna see sometimes if you ignore it
I'm in the streets sometimes and can't afford it
I got a bad habit, levitate, ducking haters
Oh my, my heart is rich, my heart is famous
Ooh-ooh, ooh
Ooh-ooh, ooh
Ooh-ooh, ooh
This what God feel like, huh, yeah (this what God feel like)
Laughing to the bank like, ""ah-ha, "" (this what God feel like) (uh)
Yeah (this what God feel like)
Flex on swole like, ""ah-ha, "" (this what God feel like) (uh)
Yeah (this what God feel like)
You feel some type of way then (ah-ha) (this what God feel like), uh, yeah
This what God feel like
This what God feel like
Ooh-ooh, ooh
Ooh-ooh, ooh",audio/13. Kendrick Lamar - GOD..flac
52,Balloon,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"(Ooh)
(Ooh)
(Ooh)
(Ooh)
(Ooh)
(I wanna rock—, I wanna rock—, I wanna rock—, I wanna rock—, I wanna rock—)
(Don't stop—)

Yeah, we ain't talkin' to your dumbass
You could be a millionaire and still be a bum ass
Boy, I've been in a dream, I've been on a to—
(Don't stop, do-don't stop—)
(Okay, look) Why I work so hard? My soul profit
Why I can't settle down? I like options
Why I hate small talk? I like topics
House shoppin', I'm a pig, I love coppin', ugh
No BBLs, I like A cups, ugh
Long legs, pretty when they wake up, ugh
Niggas run they mouth, wanna race up
Everything real here, no lace front, okay
I doze during December, I slay
I don't even like girls, bitch, I'm way up too high
Bitch, I'm on my own dick, I don't need your box, ugh
Fuck them regrets (Ugh), call them and get all that weight off your chest (Huh)
Got my brothers here, we the Wayans
Not my only girl, but you my favorite
I've been flyin' high, where's the pavement?
Enough of me, can I get a amen?

Ooh (Don't stop—)
(Don't stop—)
Can I get a amen? (Don't stop—)
(Don't stop—)
(Don't stop—)
I'll air this bitch out like balloon (Don't stop—)
I'll send his bitch ass to the moon
I'm at the top, ain't no room (Don't stop—)

Aight, where the swamp is?
Flyest bitch up in the room, I need a cockpit (Need a cockpit)
I need some PETA for this pussy, they want the croc' print
I'm finna air these DL niggas out the closet
I let it in (Let it in), I let it out (Let it out)
I'm a bi bitch, but I need that pussy now
If he is gay, then I am gay, and we are nouns (We are nouns)
Me and Tyler finna take your bitch down
Oui oui, merci
Keep it cute when you're in my city
I'm 5'2"", A-cup titties
I don't need you, 'cause I already fuck me
I don't need a Range when I got an airboat
I don't need a plane, 'cause the airboat float (Don't stop—)
Out New York, walk around bare-toed
I don't need a passport, I'm a swamp bitch, oh-oh

(Don't stop—) Don't stop
(Don't stop—) Don't stop
(Don't stop—) Don't stop
(Don't stop—)
I air this bitch out like a queef
I'll see your ass back to the streets
I'll spray your whole block with le FLEUR*
He gon' eat this pussy out, 'cause it's sweet

(Ayy, ayy, ayy) Don't stop
(Ayy, ayy, ayy) Don't stop
(Ayy, ayy, ayy) Don't stop
(Ayy, ayy, ayy) Don't stop
(Ayy, ayy, ayy) Don't stop
(Ayy, ayy, ayy) Don't stop
Don't stop","audio/13. Tyler, The Creator - Balloon.flac"
53,LO QUE LE PASÓ A HAWAii,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Esto fue un sueño que yo tuve
Ella se ve bonita, aunque a veces le vaya mal
En los ojo' una sonrisa, aguantándose llorar
La espuma de su' orilla' parecieran de champán
Son alcohol pa las herida', pa la tristeza bailar
Son alcohol pa las herida', porque hay mucho que sanar
En el verde monte adentro, aún se puede respirar
Las nubes están más cerca, con Dios se puede hablar
Se oye al jíbaro llorando, otro má' que se marchó
No quería irse pa Orlando, pero el corrupto lo echó
Y no se sabe hasta cuando-
Quieren quitarme el río y también la playa
Quieren al barrio mío y que abuelita se vaya
No, no suelte' la bandera ni olvide' el lelolai
Que no quiero que hagan contigo lo que le pasó a Hawái
Aquí nadie quiso irse, quien se fue sueña con volver
Si algún día me tocara, que mucho me va a doler
Otra jíbara luchando, una que no se dejó
No quería irse tampoco y en la isla se quedó
Y no se sabe hasta cuando-
Quieren quitarme el río y también la playa
Quieren al barrio mío y que tus hijos se vayan
No, no suelte' la bandera ni olvide' el lelolai
Que no quiero que hagan contigo lo que le pasó a Hawái
No, no suelte' la bandera ni olvide' el lelolai
Que no quiero que hagan contigo
Lelolai, lelolai
Ay, ay, ay, ay, ay, lelolai",audio/14. Bad Bunny - LO QUE LE PASÓ A HAWAii.flac
54,MURALLAS,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Hipnotizante
Tu mirada
Sé que es tarde
No te vayas
Porque solo quiero hablar contigo
Tomarnos una foto y enmarcarla
Y es que me duele y no puedo decirlo
Tienes algo que me tiene mal
Yo sentía que volaba
Paso en falso hacia la nada y me caí
Estaba bien, no me quebraba
Pecho lleno, todo en calma y luego te vi
Mando cartas al cielo
Preguntando por qué te mostró a mí
Conozco el sufrimiento
De amar y tener que dejarte ir
Las murallas que te rodean
Me mantienen admirando desde afuera
Quiero entrar y no me dejan
Solo ver de lejos es lo que me queda
Sé feliz en otra escena
En otra casa, otra vida, otra suegra
Otra familia que te ame a ciegas
Como yo
Solitario
Encerrado
Recordando
Mi pasado
Cómo odio este cuarto vacío
¿Cómo lleno lo que tú llenabas?
Puedo ver mi aliento por el frío
Ni mi propia sombra me acompaña
Desde niño yo soñaba
Con amor que me llenara, lo creí
Nadie oía, y yo gritaba
Sentimientos que callaba, quise huir
Mando cartas al cielo
Preguntando por qué te mostró a mí
Conozco el sufrimiento
De amarte y tener que dejarte ir
Las murallas que te rodean
Me mantienen admirando desde afuera
Quiero entrar y no me dejan
Solo ver de lejos es lo que me queda
Sé feliz en otra escena
En otra casa, otra vida, otra suegra
Otra familia que te ame a ciegas
Como yo
Como yo
Como yo, como yo (como yo, como yo)
Como yo (como yo, como yo)
(Como yo, como yo)
(Como yo, como yo) como yo
(Como yo, como yo)
(Como yo, como yo)
(Como yo, como yo)
(Como yo)
(Cuando todo tu mundo se estaba cayendo)
(Cuando no tenías absolutamente nada)
(Podías romantizar las nubes y volverlas tu hogar)
(Aunque tú no lo creas)
(Tú nunca perdiste la esperanza de reencontrarte)
(El simple hecho de que estés aquí hoy)
(Lo demuestra)
(Así que eso pienso)
(Si la esperanza muere, muere el alma)
(Pero ¿quieres saber qué es lo que defiende quién eres?)
(Es a lo que llaman resiliencia)
(El simple hecho de que cuando no eras nadie)
(Fuiste ""Dueño del cielo"")",audio/14. HUMBE - MURALLAS.flac
55,DUCKWORTH.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"It was always me versus the world
Until I found it's me versus me
Why, why, why, why?
Why, why, why, why?
Just remember, what happens on Earth stays on Earth!
We gon' put it in reverse
Darling, I told you many times
And I am telling you once again
Just to remind you, sweetheart
That my-
Oh, Lamar, Hail Mary and marijuana, times is hard
Pray with the hooligans, shadows all in the dark
Fellowship with demons and relatives, I'm a star
Life is one funny mo'fucker
A true comedian, you gotta love him, you gotta trust him
I might be buggin', infomercials and no sleep
Introverted by my thoughts; children, listen, it gets deep
See, once upon a time inside the Nickerson Garden projects
The object was to process and digest poverty's dialect
Adaptation inevitable, gun violence, crack spot
Federal policies raid buildings and drug professionals
Anthony was the oldest of seven
Well-respected, calm and collected
Laughin' and jokin' made life easier, hard times, Momma on crack
A four-year-old tellin' his nanny he needed her
His family history, pimpin' and bangin'
He was meant to be dangerous
Clocked him a grip and start slangin'
15, scrapin' up his jeans with quarter pieces
Even got some head from a smoker last weekend
Dodged a policeman, workin' for his big homie
Small-time hustler, graduated to a brick on him
10, 000 dollars out of a project housing, that's on the daily
Seen his first mill' 20 years old, had a couple of babies
Had a couple of shooters
Caught a murder case, fingerprints on the gun they assumin'
But witnesses couldn't prove it
That was back when he turned his back and they killed his cousin
He beat the case and went back to hustlin'
Bird-shufflin', Anthony rang
The first in the projects with the two-tone Mustang
That 5.0 thing, they say 5-0 came
Circlin' parking lots and parking spots
And hoppin' out while harrassin' the corner blocks
Crooked cops told Anthony he should kick it
He brushed 'em off and walked back to the Kentucky Fried Chicken
See, at this chicken spot
There was a light-skinned nigga that talked a lot
With a curly top and a gap in his teeth
He worked the window, his name was Ducky
He came from the streets, the Robert Taylor Homes
Southside Projects, Chiraq, the Terror Dome
Drove to California with a woman on him and 500 dollars
They had a son, hopin' that he'd see college
Hustlin' on the side with a nine-to-five to freak it
Cadillac Seville, he'd ride his son around on weekends
Three-piece special with his name on the shirt pocket
'Cross the street from the projects, Anthony planned to rob it
Stuck up the place before, back in '84
That's when affiliation was really eight gears of war
So many relatives tellin' us, sellin' us devilish works
Killin' us, crime, intelligent, felonious
Prevalent proposition with 9's
Ducky was well-aware
They robbed the manager and shot a customer last year
He figured he'd get on these niggas' good sides
Free chicken every time Anthony posted in line
Two extra biscuits, Anthony liked him and then let him slide
They didn't kill him, in fact, it look like they're the last to survive
Pay attention, that one decision changed both of they lives
One curse at a time
Reverse the manifest and good karma, and I'll tell you why
You take two strangers and put 'em in random predicaments
Give 'em a soul so they can make their own choices and live with it
20 years later, them same strangers, you make 'em meet again
Inside recording studios where they reapin' their benefits
Then you start remindin' them about that chicken incident
Whoever thought the greatest rapper would be from coincidence?
Because if Anthony killed Ducky, Top Dawg could be servin' life
While I grew up without a father and die in a gunfight
So, I was takin' a walk the other day",audio/14. Kendrick Lamar - DUCKWORTH..flac
56,I Hope You Find Your Way Home,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"I hope you find your way home
I hope you find your way home
I (find your way home, yeah, hope you find your way home)
Hope you (hope you find your way home, I hope you find your way home)
Find your way home (I hope you find your way home, I hope you find your way home)
(I hope you find your way home, I hope you find your way home)
I (find your way home, I hope you find your way home)
Hope you (hope you find your way home, I hope you find your way home)
Find your way home (I hope you find your way home, I hope you find your way home)
I'm slippin', I'm slippin', I'm slippin', I'm slippin', I need a hand
Can you squeeze the man? (Come on)
My shit spinnin', spinnin', spinnin' like a ceiling fan
No alcohol, no pill in hand
My only vice is them sweets and them wheels I spin
You better calm that down
'Fore that nigga pop that round into your will not be found
Hot, hot glue with my palm like, ""Ooh, "" Spider-Man Velcro, nigga, I'm not you, I-
Almost had a mini me, I wasn't ready
And she wanted it with me, I'm talkin' heavy
Then we had to guarantee, ain't no confetti
Four million on that car, that's not a Chevy
See, that's my interest, so as of now
Raisin' a child is not on my wish list (nope)
Neither is bein' safety net for bitches
I'm too selfish, contradiction
Maybe I should before I'm too old and washed up like dishes (washed)
Never bite tongue 'til the tooth sore
If you was gon' apologize, fuck you shoot for? Phew-phew
When I pop out, they say, ""Ooh, Lord""
No Met Gala, but I'm everybody mood board
I did a whole collection, collections in Paris
They ain't even send me the collection to wear it
I'm so embarrassed, but happy that it happened
Fuck what you heard, I ain't coon, I ain't tappin'
Always some corn for you niggas who ain't cappin', haters
Always ride another nigga wave, you a sailor
You could never moonwalk in my Chuck Taylors, brodie
You niggas is jabronis
I'm from the city where they ran up in Saucony's
Thirty-one zeroes, shit thirsty, yuck
Bitch sue for a mil' tryna work me
Settled at a mil' 'cause that mil' couldn't hurt me (uh)
It didn't hurt me (uh)
Nah, it ain't hurt shit (uh)
Sent the motherfuckin' wire, did a backflip (mh)
And if I shoot the club up, it's a black bitch (don't say that)
On the plane by myself, I ain't pack shit (uh)
Yeah, eating candied yams and some catfish
Hmm, yeah, that rich
Fuck what you heard, I'm that nigga and I'm that bitch
I hope you find your way home
Real shit, I'm proud of you
I'm proud of you, bro
Like, you just never cease to amaze me, like, you just-
There's no words right now how I feel
Do your thing, just keep, keep shinin'
I hope you find your way home","audio/14. Tyler, The Creator - I Hope You Find Your Way Home.flac"
57,EoO,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Ella viene por ahí y nunca llega sola
Ella nunca llega sola
To' los bandi-di- se sueltan las pistola'
Esta noche lo que hay (dice)
Perreo, baby, sobeteo, baby
Tra-tra, baby, hasta abajo, baby
En la disco, baby, yo te cojo, baby
Tra-tra, baby, tra-tra, baby
Perreo, baby, sobeteo, baby
Tra-tra, baby, hasta abajo, baby
En la disco, baby, yo te cojo, baby (ey)
Tra-tra, baby, tra-tra, baby (ey)
Yo se la mamo y se pone contenta
Está wileá y ya cumplió los 30
Después de las doce no los cuenta
No la llame' en el jangueo si no quiere' que mienta
Tas escuchando el número uno en venta'
Por eso con nosotros nadiе inventa
Me siento como un bichotе en los noventa
Lo tengo parao, ven, pa que lo sienta'
Dale, mami, pégate, vírate
Si me miras mucho, sabes que voy a besarte
Dale, mami, pégate, vírate
Si te beso y me lo agarras, entonces vo'a llevarte
Mira, puñeta, no me quiten el pe-
Mami, yo sé que tú te vuelves loca
Cuando el perreo te azota
Pero obligao tú te acuerdas de mí
Si me ves por ahí
Mami, yo sé que tú te vuelves loca
Cuando el perreo te azota
Pero obligao tú te acuerdas de mí
De cuando te di
Perreo, baby, tra-tra, baby
En la disco, baby, vamo a darle, baby
Hasta abajo, baby, no te quites, baby
Bellaqueo, baby, tú y yo solos, baby
Perreo, baby, tra-tra, baby
En la disco, baby, te lo meto, baby
Aquí mismo, baby, delante de tu baby
Te compro la BM y también el AP
Ey, te doy deo bailando
Mami, toy testin', ey (dale)
Tráete a tu bestie
Que a las dos les bajamo el panty (tra)
Tiene a 20 en lista 'e waitin'
Te lo tiro en la espalda, body paintin'
Rompiendo la calle desde los twenty
Anda cazando, no está datin'
Rompe la calle
Siempre que sale
Mami, tú tas fit
Vo'a lamerte los abdominales
Rompe la calle
Siempre que sale
Me gustas porque tú y yo somo iguales
Siempre queremos perreo, -eo
Tú y yo estamo envuelto' en el bellaqueo
Cuando nos ponen perreo, -eo, ey
No me ronquen, cabrones, que acá no los veo
Tas escuchando música de Puerto Rico, cabrón
Nosotro nos criamo escuchando y cantando esto
En los caserío', en los barrio'
Desde los noventa hasta el 2000 por siempre
Y ando con el mejor de to' los tiempo', Tainy
Y yo no tengo que roncar, ustedes saben ya
Yeh-yeh-yeh-yeh, yeh-yeh-yeh-yeh
Bad Bunny, baby
Bad Bunny, baby, eh
Tainy, Tainy
Tainy, Tainy
Chequéate la historia",audio/15. Bad Bunny - EoO.flac
58,NIRVANA,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Por un día tomando Dawa en Nairobi
Ir en moto por las mañanas
Sentir esa libertad
Hacerla una realidad, volverme en un niño
Y ya no pensar lo que viene mañana
Tener horas que perder
Solo estar nosotros tres
Viendo uno tras otro crecer
Nirvana en mí
Mis aliados, ellos conmigo
Prueban cada paso conmigo
Son mi par de Tony Robbins
Somos eslabones
Mi sangre hecha en dos
Fuentes de mi construcción
Rayos X de quien soy
Con la mano puesta en mi corazón
Pueden ver a través de mí
Soy transparente así
Vieron cada paso que yo di
Y se quedaron, mm
Cada matiz que hay aquí
Lo conocieron al fin
Nirvana en todo lugar, así
Un, dos, tres y...",audio/15. HUMBE - NIRVANA.flac
